"","MUNICIPIO","iteracion","ranking"
"662","Pisaflores","Km,6",74
"663","Pisaflores","Km,8",74
"664","Pisaflores","km,10",74
"665","Pisaflores","km,12",74
"666","Pisaflores","km,14",74
"667","Pisaflores","km,16",74
"668","Pisaflores","km,18",74
"669","Pisaflores","km,20",74
"670","Pisaflores","km,22",74
"671","Pisaflores","km,24",74
"672","Pisaflores","km,26",74
"673","Progreso","Km,0",23
"674","Progreso","Km,2",30
"675","Progreso","Km,4",31
"676","Progreso","Km,6",32
"677","Progreso","Km,8",33
"678","Progreso","km,10",33
"679","Progreso","km,12",33
"680","Progreso","km,14",33
"681","Progreso","km,16",34
"682","Progreso","km,18",35
"683","Progreso","km,20",35
"684","Progreso","km,22",35
"685","Progreso","km,24",35
"686","Progreso","km,26",35
"687","Mineral De La Reforma","Km,0",4
"688","Mineral De La Reforma","Km,2",4
"689","Mineral De La Reforma","Km,4",4
"690","Mineral De La Reforma","Km,6",5
"691","Mineral De La Reforma","Km,8",4
"692","Mineral De La Reforma","km,10",4
"693","Mineral De La Reforma","km,12",4
"694","Mineral De La Reforma","km,14",4
"695","Mineral De La Reforma","km,16",4
"696","Mineral De La Reforma","km,18",4
"697","Mineral De La Reforma","km,20",4
"698","Mineral De La Reforma","km,22",4
"699","Mineral De La Reforma","km,24",5
"700","Mineral De La Reforma","km,26",5
"701","San Agustin Tlaxiaca","Km,0",37
"702","San Agustin Tlaxiaca","Km,2",28
"703","San Agustin Tlaxiaca","Km,4",28
"704","San Agustin Tlaxiaca","Km,6",29
"705","San Agustin Tlaxiaca","Km,8",29
"706","San Agustin Tlaxiaca","km,10",29
"707","San Agustin Tlaxiaca","km,12",29
"708","San Agustin Tlaxiaca","km,14",29
"709","San Agustin Tlaxiaca","km,16",29
"710","San Agustin Tlaxiaca","km,18",29
"711","San Agustin Tlaxiaca","km,20",29
"712","San Agustin Tlaxiaca","km,22",29
"713","San Agustin Tlaxiaca","km,24",29
"714","San Agustin Tlaxiaca","km,26",29
"715","SBT","Km,0",81
"716","SBT","Km,2",80
"717","SBT","Km,4",82
"718","SBT","Km,6",82
"719","SBT","Km,8",82
"720","SBT","km,10",82
"721","SBT","km,12",82
"722","SBT","km,14",82
"723","SBT","km,16",81
"724","SBT","km,18",81
"725","SBT","km,20",81
"726","SBT","km,22",81
"727","SBT","km,24",81
"728","SBT","km,26",81
"729","San Salvador","Km,0",25
"730","San Salvador","Km,2",34
"731","San Salvador","Km,4",36
"732","San Salvador","Km,6",35
"733","San Salvador","Km,8",35
"734","San Salvador","km,10",35
"735","San Salvador","km,12",35
"736","San Salvador","km,14",34
"737","San Salvador","km,16",33
"738","San Salvador","km,18",33
"739","San Salvador","km,20",32
"740","San Salvador","km,22",32
"741","San Salvador","km,24",32
"742","San Salvador","km,26",32
"743","Santiago De Anaya","Km,0",61
"744","Santiago De Anaya","Km,2",53
"745","Santiago De Anaya","Km,4",51
"746","Santiago De Anaya","Km,6",48
"747","Santiago De Anaya","Km,8",48
"748","Santiago De Anaya","km,10",48
"749","Santiago De Anaya","km,12",48
"750","Santiago De Anaya","km,14",48
"751","Santiago De Anaya","km,16",48
"752","Santiago De Anaya","km,18",48
"753","Santiago De Anaya","km,20",48
"754","Santiago De Anaya","km,22",48
"755","Santiago De Anaya","km,24",48
"756","Santiago De Anaya","km,26",48
"757","Lugo Guerrero","Km,0",12
"758","Lugo Guerrero","Km,2",13
"759","Lugo Guerrero","Km,4",10
"760","Lugo Guerrero","Km,6",10
"761","Lugo Guerrero","Km,8",11
"762","Lugo Guerrero","km,10",11
"763","Lugo Guerrero","km,12",11
"764","Lugo Guerrero","km,14",11
"765","Lugo Guerrero","km,16",11
"766","Lugo Guerrero","km,18",11
"767","Lugo Guerrero","km,20",11
"768","Lugo Guerrero","km,22",11
"769","Lugo Guerrero","km,24",11
"770","Lugo Guerrero","km,26",11
"771","Singuilucan","Km,0",26
"772","Singuilucan","Km,2",24
"773","Singuilucan","Km,4",19
"774","Singuilucan","Km,6",17
"775","Singuilucan","Km,8",15
"776","Singuilucan","km,10",14
"777","Singuilucan","km,12",14
"778","Singuilucan","km,14",14
"779","Singuilucan","km,16",14
"780","Singuilucan","km,18",14
"781","Singuilucan","km,20",14
"782","Singuilucan","km,22",14
"783","Singuilucan","km,24",14
"784","Singuilucan","km,26",14
"785","Tasquillo","Km,0",62
"786","Tasquillo","Km,2",45
"787","Tasquillo","Km,4",42
"788","Tasquillo","Km,6",42
"789","Tasquillo","Km,8",42
"790","Tasquillo","km,10",42
"791","Tasquillo","km,12",42
"792","Tasquillo","km,14",42
"793","Tasquillo","km,16",42
"794","Tasquillo","km,18",42
